time,JPG Name,Index,Throttle_PWM,Steering_PWM
13:54:06:014418,Aug9_DataCollection2_1.jpg,1,88,104
13:54:06:115114,Aug9_DataCollection2_2.jpg,2,88,111
13:54:06:186332,Aug9_DataCollection2_3.jpg,3,90,107
13:54:06:261575,Aug9_DataCollection2_4.jpg,4,90,107
13:54:06:337961,Aug9_DataCollection2_5.jpg,5,93,104
13:54:06:412922,Aug9_DataCollection2_6.jpg,6,101,105
13:54:06:487659,Aug9_DataCollection2_7.jpg,7,103,105
13:54:06:567081,Aug9_DataCollection2_8.jpg,8,109,109
13:54:06:657410,Aug9_DataCollection2_9.jpg,9,111,111
13:54:06:735247,Aug9_DataCollection2_10.jpg,10,114,116
13:54:06:805103,Aug9_DataCollection2_11.jpg,11,114,117
13:54:06:883433,Aug9_DataCollection2_12.jpg,12,116,120
13:54:06:956478,Aug9_DataCollection2_13.jpg,13,121,133
13:54:07:033416,Aug9_DataCollection2_14.jpg,14,121,136
13:54:07:114004,Aug9_DataCollection2_15.jpg,15,121,136
13:54:07:183913,Aug9_DataCollection2_16.jpg,16,122,140
13:54:07:262103,Aug9_DataCollection2_17.jpg,17,122,151
13:54:07:337023,Aug9_DataCollection2_18.jpg,18,121,155
13:54:07:424827,Aug9_DataCollection2_19.jpg,19,111,171
13:54:07:496440,Aug9_DataCollection2_20.jpg,20,113,177
13:54:07:573446,Aug9_DataCollection2_21.jpg,21,121,168
13:54:07:654698,Aug9_DataCollection2_22.jpg,22,124,118
13:54:07:725718,Aug9_DataCollection2_23.jpg,23,124,112
13:54:07:797404,Aug9_DataCollection2_24.jpg,24,124,112
13:54:07:872263,Aug9_DataCollection2_25.jpg,25,124,111
13:54:07:963085,Aug9_DataCollection2_26.jpg,26,124,107
13:54:08:039794,Aug9_DataCollection2_27.jpg,27,124,107
13:54:08:135437,Aug9_DataCollection2_28.jpg,28,121,107
13:54:08:206818,Aug9_DataCollection2_29.jpg,29,116,107
13:54:08:290534,Aug9_DataCollection2_30.jpg,30,115,111
13:54:08:374973,Aug9_DataCollection2_31.jpg,31,115,122
13:54:08:445618,Aug9_DataCollection2_32.jpg,32,115,118
13:54:08:517728,Aug9_DataCollection2_33.jpg,33,114,105
13:54:08:604468,Aug9_DataCollection2_34.jpg,34,112,93
