time,JPG Name,Index,Throttle_PWM,Steering_PWM
14:01:07:790387,Aug9_DataCollection4_1.jpg,1,114,137
14:01:07:853934,Aug9_DataCollection4_2.jpg,2,114,157
14:01:07:916942,Aug9_DataCollection4_3.jpg,3,114,157
14:01:07:971855,Aug9_DataCollection4_4.jpg,4,114,168
14:01:08:032003,Aug9_DataCollection4_5.jpg,5,114,168
14:01:08:084990,Aug9_DataCollection4_6.jpg,6,114,168
14:01:08:146231,Aug9_DataCollection4_7.jpg,7,114,167
14:01:08:201792,Aug9_DataCollection4_8.jpg,8,114,167
14:01:08:260906,Aug9_DataCollection4_9.jpg,9,114,167
14:01:08:318783,Aug9_DataCollection4_10.jpg,10,114,167
14:01:08:379150,Aug9_DataCollection4_11.jpg,11,114,167
14:01:08:438794,Aug9_DataCollection4_12.jpg,12,114,167
14:01:08:494551,Aug9_DataCollection4_13.jpg,13,114,168
14:01:08:554076,Aug9_DataCollection4_14.jpg,14,114,166
14:01:08:617838,Aug9_DataCollection4_15.jpg,15,114,166
14:01:08:671145,Aug9_DataCollection4_16.jpg,16,114,165
14:01:08:736795,Aug9_DataCollection4_17.jpg,17,114,164
14:01:08:790558,Aug9_DataCollection4_18.jpg,18,114,161
14:01:08:846778,Aug9_DataCollection4_19.jpg,19,114,161
14:01:08:914231,Aug9_DataCollection4_20.jpg,20,114,160
14:01:08:968827,Aug9_DataCollection4_21.jpg,21,114,160
14:01:09:023299,Aug9_DataCollection4_22.jpg,22,114,160
14:01:09:076802,Aug9_DataCollection4_23.jpg,23,114,159
14:01:09:141870,Aug9_DataCollection4_24.jpg,24,115,160
14:01:09:200994,Aug9_DataCollection4_25.jpg,25,115,160
14:01:09:262317,Aug9_DataCollection4_26.jpg,26,114,160
14:01:09:316213,Aug9_DataCollection4_27.jpg,27,115,160
14:01:09:370148,Aug9_DataCollection4_28.jpg,28,115,160
14:01:09:432530,Aug9_DataCollection4_29.jpg,29,115,158
14:01:09:494726,Aug9_DataCollection4_30.jpg,30,115,154
14:01:09:553942,Aug9_DataCollection4_31.jpg,31,114,155
14:01:09:607301,Aug9_DataCollection4_32.jpg,32,114,155
14:01:09:677969,Aug9_DataCollection4_33.jpg,33,114,155
14:01:09:732323,Aug9_DataCollection4_34.jpg,34,115,154
14:01:09:796970,Aug9_DataCollection4_35.jpg,35,115,154
14:01:09:852016,Aug9_DataCollection4_36.jpg,36,115,152
14:01:09:904976,Aug9_DataCollection4_37.jpg,37,114,153
14:01:09:966421,Aug9_DataCollection4_38.jpg,38,114,153
14:01:10:026874,Aug9_DataCollection4_39.jpg,39,115,156
14:01:10:090920,Aug9_DataCollection4_40.jpg,40,115,163
14:01:10:151560,Aug9_DataCollection4_41.jpg,41,115,166
14:01:10:205916,Aug9_DataCollection4_42.jpg,42,115,166
14:01:10:260508,Aug9_DataCollection4_43.jpg,43,115,166
14:01:10:326491,Aug9_DataCollection4_44.jpg,44,115,165
14:01:10:390725,Aug9_DataCollection4_45.jpg,45,115,165
14:01:10:445590,Aug9_DataCollection4_46.jpg,46,115,164
14:01:10:508771,Aug9_DataCollection4_47.jpg,47,115,165
14:01:10:567346,Aug9_DataCollection4_48.jpg,48,115,165
14:01:10:632512,Aug9_DataCollection4_49.jpg,49,116,165
14:01:10:687791,Aug9_DataCollection4_50.jpg,50,116,164
14:01:10:740607,Aug9_DataCollection4_51.jpg,51,116,164
14:01:10:802347,Aug9_DataCollection4_52.jpg,52,116,164
14:01:10:865814,Aug9_DataCollection4_53.jpg,53,116,163
14:01:10:919485,Aug9_DataCollection4_54.jpg,54,116,163
14:01:10:981495,Aug9_DataCollection4_55.jpg,55,116,163
14:01:11:038490,Aug9_DataCollection4_56.jpg,56,116,161
14:01:11:094573,Aug9_DataCollection4_57.jpg,57,117,155
14:01:11:155342,Aug9_DataCollection4_58.jpg,58,117,155
14:01:11:211925,Aug9_DataCollection4_59.jpg,59,117,151
14:01:11:274087,Aug9_DataCollection4_60.jpg,60,117,116
14:01:11:331748,Aug9_DataCollection4_61.jpg,61,117,116
14:01:11:388831,Aug9_DataCollection4_62.jpg,62,117,84
14:01:11:443850,Aug9_DataCollection4_63.jpg,63,117,75
14:01:11:511652,Aug9_DataCollection4_64.jpg,64,117,75
14:01:11:567654,Aug9_DataCollection4_65.jpg,65,117,56
14:01:11:627910,Aug9_DataCollection4_66.jpg,66,117,42
14:01:11:685943,Aug9_DataCollection4_67.jpg,67,117,44
14:01:11:739706,Aug9_DataCollection4_68.jpg,68,117,44
14:01:11:803716,Aug9_DataCollection4_69.jpg,69,117,45
14:01:11:865485,Aug9_DataCollection4_70.jpg,70,116,50
14:01:11:920591,Aug9_DataCollection4_71.jpg,71,116,50
14:01:11:981006,Aug9_DataCollection4_72.jpg,72,117,56
14:01:12:043182,Aug9_DataCollection4_73.jpg,73,118,58
14:01:12:100669,Aug9_DataCollection4_74.jpg,74,118,58
14:01:12:163185,Aug9_DataCollection4_75.jpg,75,117,71
14:01:12:222785,Aug9_DataCollection4_76.jpg,76,118,83
14:01:12:278632,Aug9_DataCollection4_77.jpg,77,118,83
14:01:12:342564,Aug9_DataCollection4_78.jpg,78,117,97
14:01:12:399108,Aug9_DataCollection4_79.jpg,79,116,110
14:01:12:454436,Aug9_DataCollection4_80.jpg,80,116,110
14:01:12:528609,Aug9_DataCollection4_81.jpg,81,117,116
14:01:12:585778,Aug9_DataCollection4_82.jpg,82,117,127
14:01:12:646138,Aug9_DataCollection4_83.jpg,83,117,142
14:01:12:702133,Aug9_DataCollection4_84.jpg,84,117,142
14:01:12:760638,Aug9_DataCollection4_85.jpg,85,115,152
14:01:12:823454,Aug9_DataCollection4_86.jpg,86,115,153
14:01:12:875871,Aug9_DataCollection4_87.jpg,87,115,153
14:01:12:936267,Aug9_DataCollection4_88.jpg,88,114,158
14:01:13:007744,Aug9_DataCollection4_89.jpg,89,114,168
14:01:13:061139,Aug9_DataCollection4_90.jpg,90,115,176
14:01:13:114954,Aug9_DataCollection4_91.jpg,91,115,176
14:01:13:174310,Aug9_DataCollection4_92.jpg,92,116,177
14:01:13:235137,Aug9_DataCollection4_93.jpg,93,114,177
14:01:13:289299,Aug9_DataCollection4_94.jpg,94,114,177
14:01:13:346034,Aug9_DataCollection4_95.jpg,95,114,178
14:01:13:398792,Aug9_DataCollection4_96.jpg,96,114,178
14:01:13:459760,Aug9_DataCollection4_97.jpg,97,114,179
14:01:13:518626,Aug9_DataCollection4_98.jpg,98,114,177
14:01:13:571961,Aug9_DataCollection4_99.jpg,99,115,171
14:01:13:636991,Aug9_DataCollection4_100.jpg,100,115,171
14:01:13:692941,Aug9_DataCollection4_101.jpg,101,114,164
14:01:13:753211,Aug9_DataCollection4_102.jpg,102,114,163
14:01:13:819036,Aug9_DataCollection4_103.jpg,103,114,163
14:01:13:872597,Aug9_DataCollection4_104.jpg,104,114,163
14:01:13:936292,Aug9_DataCollection4_105.jpg,105,114,163
14:01:13:998151,Aug9_DataCollection4_106.jpg,106,114,165
14:01:14:051576,Aug9_DataCollection4_107.jpg,107,114,165
14:01:14:104310,Aug9_DataCollection4_108.jpg,108,115,166
14:01:14:163393,Aug9_DataCollection4_109.jpg,109,115,166
14:01:14:220428,Aug9_DataCollection4_110.jpg,110,115,166
14:01:14:273885,Aug9_DataCollection4_111.jpg,111,116,165
14:01:14:327265,Aug9_DataCollection4_112.jpg,112,116,165
14:01:14:381546,Aug9_DataCollection4_113.jpg,113,115,164
